alpha,energy
0.1,-0.406878574858222
0.1,-0.35864463482977915
0.1,-0.40850317184921303
0.1,-0.38425043101258977
0.1,-0.4073400527680085
0.1,-0.3822378952974817
0.1,-0.40677012633027615
0.1,-0.4076177110957557
0.1,-0.41116843251588586
0.1,-0.38337570567943946
0.1,-0.407321860966433
0.1,-0.4076921070807037
0.1,-0.3871370785662428
0.1,-0.4090496830585395
0.1,-0.4061301032299922
0.1,-0.4075133965270967
0.1,-0.40729925544406304
0.1,-0.3818342409831395
0.1,-0.4054052372910995
0.1,-0.3821196209922494
0.1,-0.4068167153614451
0.1,-0.4070520839804198
0.1,-0.3125702886758709
0.1,-0.4081642223050821
0.1,-0.4061784260716309
0.1,-0.358370102760344
0.1,-0.40833699778377724
0.1,-0.4080307008007939
0.1,-0.40858416924742047
0.1,-0.3560323666125955
0.1,-0.3650248918084388
0.1,-0.4082212361944906
0.1,-0.40685808096578363
0.1,-0.3314065872320091
0.1,-0.40937125050713086
0.1,-0.40589126699007805
0.1,-0.40986575879752696
0.1,-0.40781309209682076
0.1,-0.4079545710053761
0.1,-0.4066939965348583
0.1,-0.4060730893405838
0.1,-0.38195869362019597
0.1,-0.40438452122288415
0.1,-0.40645516029494416
0.1,-0.4045680773838596
0.1,-0.3866039588130966
0.1,-0.4092662915955457
0.1,-0.35908407549758875
0.1,-0.38269571822779797
0.1,-0.4046212678282878
