alpha,energy
0.1,-0.19602806906621578
0.1,-0.0944226135792428
0.1,-0.299209094622789
0.1,-0.011303467215422101
0.1,-0.024282348745860893
0.1,-0.0869096827801498
0.1,-0.08366286708383386
0.1,-0.03677464888426276
0.1,-0.038960236519057646
0.1,-0.22420439337771783
0.1,-0.06424798347082734
0.1,-0.22030354589856427
0.1,-0.08290317523972092
0.1,-0.11796229765674986
0.1,-0.005972623482626719
0.1,-0.09814482179395402
0.1,-0.03674479624595481
0.1,-0.4010322327101445
0.1,-0.03110903012276963
0.1,-0.024926273200337367
0.1,-0.03980903831292845
0.1,-0.060571466475843105
0.1,-0.09547724767290768
0.1,-0.08960130618292361
0.1,-0.06518866829155107
0.1,-0.11092664615129043
0.1,-0.08947169358411398
0.1,-0.04834147806024074
0.1,-0.06704517566046896
0.1,-0.05832765319582289
0.1,-0.12172522358208736
0.1,-0.1496018155296346
0.1,-0.04212887737120277
0.1,-0.042937447709184
0.1,-0.1256584903468823
0.1,-0.09853774561760237
0.1,-0.044279028756177334
0.1,-0.05170795948519782
0.1,-0.05320453347964548
0.1,-0.05143251653646858
0.1,-0.04810887041181747
0.1,-0.05192776344027898
0.1,-0.0505365402667959
0.1,-0.32540714054380665
0.1,-0.28036363225889066
0.1,-0.25224839656715564
0.1,-0.15284995288730302
0.1,-0.034064403476451476
0.1,-0.04760217784210377
0.1,-0.3554956824426702
