alpha,energy
0.9,-0.015975362140672418
0.9,-0.015624571553544669
0.9,-0.010438985661040385
0.9,-0.009596300574422421
0.9,-0.012408508328273475
0.9,-0.023247637542750797
0.9,-0.016796555011029314
0.9,-0.01388281526104949
0.9,-0.020953583763632787
0.9,-0.028857320119231103
0.9,-0.013805330611908752
0.9,-0.008157905123417849
0.9,-0.02425487777723887
0.9,-0.005569356066804859
0.9,-0.015519657002960593
0.9,-0.02229380876430368
0.9,-0.014672945404490264
0.9,-0.016672633387792922
0.9,-0.018914785987124125
0.9,-0.019942357009775095
0.9,-0.02285347903319466
0.9,-0.02121768496535542
0.9,-0.02212253601962357
0.9,-0.009578860814025321
0.9,-0.017726794198669873
0.9,-0.019376349054552124
0.9,-0.018917600791183934
0.9,-0.023631387281305725
0.9,-0.026209026301764905
0.9,-0.01681268622030159
0.9,-0.01731076200666051
0.9,-0.016740851357018145
0.9,-0.03515092906481572
0.9,-0.019518699608556768
0.9,-0.014014571025840862
0.9,-0.020959819742929722
0.9,-0.009733826921748396
0.9,-0.007392986551600188
0.9,-0.027390070389195196
0.9,-0.018305254402425804
0.9,-0.011536412642632164
0.9,-0.02505529132173771
0.9,-0.012728499572439204
0.9,-0.02445178067453529
0.9,-0.02383162076574477
0.9,-0.02308893397601808
0.9,-0.02059979379046241
0.9,-0.015719404356610116
0.9,-0.018470754363015582
0.9,-0.019155753313229204
